ISBN,ISBN13 (Formatted),Author (SN/FN),Work Author on Cover,Work Cover Title,Work Sub Title,Edition Original Language,Edition Binding,Edition Discount Type,Published Price,Region Pricing: UK (UK),Region Pricing: Europe (EU),Edition Group Titles: Series,Edition Extent,Edition Illustration Details,Edition Format,Pub Date Year,Edition Group Titles: BISAC,Edition Territory,Group Code: BISAC/1,Group Code: BISAC/2,Group Code: BISAC/3,,,,
674991192,9780674991194,"Procopius, ",Procopius,"History of the Wars, Volume III",Books 5-6.15. (Gothic War),"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,464,"1 map, index",4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990463,9780674990463,"Ovid, ",Ovid,"Metamorphoses, Volume I",Books 1-8,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,none,4-1/4 x 6-3/8,1916,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990781,9780674990784,"Galen, ",Galen,On the Natural Faculties,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,400,"Index, glossary",4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,MEDICAL / History,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,MED039000,LIT004190,,,,
674990641,9780674990647,"Marcus Aurelius, ",Marcus Aurelius,Marcus Aurelius,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,448,Indexes,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990773,9780674990777,"Theophrastus, ",Theophrastus,"Enquiry into Plants, Volume I: Books 1-5",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,512,none,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990471,9780674990470,"Ovid, ",Ovid,"Metamorphoses, Volume II",Books 9-15,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,512,Index,4-1/4 x 6-3/8,1916,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990900,9780674990906,"Procopius, ",Procopius,"History of the Wars, Volume II",Books 3-4. (Vandalic War),"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990846,9780674990845,"Seneca, ",Seneca,"Epistles, Volume I",Epistles 1-65,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,496,Index,4-1/4 x 6-3/8,1917,"PHILOSOPHY / History & Surveys / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,LIT004190,,,,,
674990552,9780674990555,"Strabo, ",Strabo,"Geography, Volume I",Books 1-2,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,576,"1 map, index",4-1/4 x 6-3/8,1917,"HISTORY / Historical Geography,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS052000,HIS002010,LIT004190,,,,
674990935,9780674990937,,W. R. Paton,"The Greek Anthology, Volume III: Book 9: The Declamatory Epigrams",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,464,Indexes,4-1/4 x 6-3/8,1917,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical,HISTORY / Ancient / Greece",World,LCO003000,LIT004190,HIS002010,,,,
674990803,9780674990807,"Caesar, ",Caesar,The Gallic War,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,656,"7 maps, 10 line illustrations, indexes",4-1/4 x 6-3/8,1917,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
